date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:21	125304/125304	---M--	200	added ('OK')	text/html	date:Fri,%2023%20Mar%202018%2009:26:04%20GMT	http://radixtouch.in/templates/admin/smart/source/hover/index.html	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/hover/index.html	(from )
11:40:21	2560/2560	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Aug%202017%2010:12:29%20GMT	http://radixtouch.in/robots.txt		(from )
11:40:22	13718/13718	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Dec%202017%2023:37:14%20GMT	http://radixtouch.in/templates/admin/smart/source/hover/fonts/simple-line-icons/simple-line-icons.min.css	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/hover/fonts/simple-line-icons/simple-line-icons.min.css	(from http://radixtouch.in/templates/admin/smart/source/hover/index.html)
11:40:23	31002/31002	---M--	200	added ('OK')	text/css	date:Thu,%2008%20Mar%202018%2023:31:54%20GMT	http://radixtouch.in/templates/admin/smart/source/hover/fonts/font-awesome/css/font-awesome.min.css	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/hover/fonts/font-awesome/css/font-awesome.min.css	(from http://radixtouch.in/templates/admin/smart/source/hover/index.html)
11:40:24	1185/1185	---M--	200	added ('OK')	text/css	date:Thu,%2008%20Mar%202018%2023:31:54%20GMT	http://radixtouch.in/templates/admin/smart/source/hover/fonts/material-design-icons/material-icon.css	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/hover/fonts/material-design-icons/material-icon.css	(from http://radixtouch.in/templates/admin/smart/source/hover/index.html)
11:40:25	144883/144883	---M--	200	added ('OK')	text/css	date:Thu,%2022%20Mar%202018%2023:59:46%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap/css/bootstrap.min.css	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap/css/bootstrap.min.css	(from http://radixtouch.in/templates/admin/smart/source/hover/index.html)
11:40:27	15522/15522	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Dec%202017%2023:37:14%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/plugins/summernote/summernote.css	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/plugins/summernote/summernote.css	(from http://radixtouch.in/templates/admin/smart/source/hover/index.html)
11:40:30	141302/141302	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Dec%202017%2023:37:14%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/plugins/material/material.min.css	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/plugins/material/material.min.css	(from http://radixtouch.in/templates/admin/smart/source/hover/index.html)
11:40:30	3247/3247	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Feb%202018%2022:35:40%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/css/material_style.css	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/css/material_style.css	(from http://radixtouch.in/templates/admin/smart/source/hover/index.html)
11:40:30	11346/11346	---M--	200	added ('OK')	text/css	date:Sat,%2020%20Jan%202018%2016:32:06%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/css/pages/inbox.min.css	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/css/pages/inbox.min.css	(from http://radixtouch.in/templates/admin/smart/source/hover/index.html)
11:40:36	206506/206506	---M--	200	added ('OK')	text/css	date:Thu,%2022%20Mar%202018%2023:37:36%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/css/theme/hover/theme_style.css	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/css/theme/hover/theme_style.css	(from http://radixtouch.in/templates/admin/smart/source/hover/index.html)
11:40:36	30425/30425	---M--	200	added ('OK')	text/css	date:Sat,%2020%20Jan%202018%2013:20:14%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/css/plugins.min.css	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/css/plugins.min.css	(from http://radixtouch.in/templates/admin/smart/source/hover/index.html)
11:40:37	17925/17925	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Jan%202018%2023:14:12%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/css/theme/hover/style.css	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/css/theme/hover/style.css	(from http://radixtouch.in/templates/admin/smart/source/hover/index.html)
11:40:38	38329/38329	---M--	200	added ('OK')	text/css	date:Wed,%2024%20Jan%202018%2021:33:22%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/css/responsive.css	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/css/responsive.css	(from http://radixtouch.in/templates/admin/smart/source/hover/index.html)
11:40:39	66263/66263	---M--	200	added ('OK')	text/css	date:Sat,%2020%20Jan%202018%2014:14:12%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/css/theme/hover/theme-color.css	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/css/theme/hover/theme-color.css	(from http://radixtouch.in/templates/admin/smart/source/hover/index.html)
11:40:41	545/545	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Dec%202017%2023:37:14%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/img/flags/gb.png	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/img/flags/gb.png	(from http://radixtouch.in/templates/admin/smart/source/hover/index.html)
11:40:42	545/545	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Dec%202017%2023:37:14%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/img/flags/de.png	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/img/flags/de.png	(from http://radixtouch.in/templates/admin/smart/source/hover/index.html)
11:40:43	446/446	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Dec%202017%2023:37:14%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/img/flags/ua.png	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/img/flags/ua.png	(from http://radixtouch.in/templates/admin/smart/source/hover/index.html)
11:40:44	469/469	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Dec%202017%2023:37:14%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/img/flags/es.png	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/img/flags/es.png	(from http://radixtouch.in/templates/admin/smart/source/hover/index.html)
11:40:45	420/420	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Dec%202017%2023:37:14%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/img/flags/ru.png	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/img/flags/ru.png	(from http://radixtouch.in/templates/admin/smart/source/hover/index.html)
11:40:47	38225/38225	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Dec%202017%2023:37:14%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/img/prof/prof2.jpg	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/img/prof/prof2.jpg	(from http://radixtouch.in/templates/admin/smart/source/hover/index.html)
11:40:51	38153/38153	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Dec%202017%2023:37:14%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/img/prof/prof3.jpg	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/img/prof/prof3.jpg	(from http://radixtouch.in/templates/admin/smart/source/hover/index.html)
11:40:54	36174/36174	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Dec%202017%2023:37:14%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/img/prof/prof1.jpg	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/img/prof/prof1.jpg	(from http://radixtouch.in/templates/admin/smart/source/hover/index.html)
11:40:57	111200/111200	---M--	200	added ('OK')	text/html	date:Fri,%2023%20Mar%202018%2009:26:04%20GMT	http://radixtouch.in/templates/admin/smart/source/hover/user_profile.html	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/hover/user_profile.html	(from http://radixtouch.in/templates/admin/smart/source/hover/index.html)
11:40:59	2015/2015	---M--	200	added ('OK')	text/html	date:Fri,%2023%20Mar%202018%2008:48:20%20GMT	http://radixtouch.in/templates/admin/smart/source/hover/lock_screen.html	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/hover/lock_screen.html	(from http://radixtouch.in/templates/admin/smart/source/hover/index.html)
